Date,Month,PctDrop%
2024-06-04,2024-06,-5.93
2024-07-19,2024-07,-1.09
2024-08-02,2024-08,-1.17
2024-08-05,2024-08,-2.68
2024-09-06,2024-09,-1.17
2024-09-30,2024-09,-1.41
2024-10-03,2024-10,-2.12
2024-10-22,2024-10,-1.25
2024-11-04,2024-11,-1.27
2024-11-07,2024-11,-1.16
2024-11-12,2024-11,-1.07
2024-11-13,2024-11,-1.36
2024-11-28,2024-11,-1.49
2024-12-17,2024-12,-1.35
2024-12-19,2024-12,-1.02
2024-12-20,2024-12,-1.52
2025-01-06,2025-01,-1.62
2025-01-13,2025-01,-1.47
2025-01-21,2025-01,-1.37
2025-01-27,2025-01,-1.14
2025-02-11,2025-02,-1.32
2025-02-24,2025-02,-1.06
2025-02-28,2025-02,-1.86
2025-04-01,2025-04,-1.5
2025-04-04,2025-04,-1.49
2025-04-07,2025-04,-3.24
2025-05-09,2025-05,-1.1
2025-05-13,2025-05,-1.39
