Month,Count,Dates,Drops
2024-06,1,04-Jun,-5.93%
2024-07,1,19-Jul,-1.09%
2024-08,2,"02-Aug, 05-Aug","-1.17%, -2.68%"
2024-09,2,"06-Sep, 30-Sep","-1.17%, -1.41%"
2024-10,2,"03-Oct, 22-Oct","-2.12%, -1.25%"
2024-11,5,"04-Nov, 07-Nov, 12-Nov, 13-Nov, 28-Nov","-1.27%, -1.16%, -1.07%, -1.36%, -1.49%"
2024-12,3,"17-Dec, 19-Dec, 20-Dec","-1.35%, -1.02%, -1.52%"
2025-01,4,"06-Jan, 13-Jan, 21-Jan, 27-Jan","-1.62%, -1.47%, -1.37%, -1.14%"
2025-02,3,"11-Feb, 24-Feb, 28-Feb","-1.32%, -1.06%, -1.86%"
2025-04,3,"01-Apr, 04-Apr, 07-Apr","-1.50%, -1.49%, -3.24%"
2025-05,2,"09-May, 13-May","-1.10%, -1.39%"
